id,Customerid,Ticketid,Price,accountid,Saledate,Datemodified
1,8,1,200,8,3/25/2024 3:25,3/25/2024 3:25
2,8,2,200,8,3/25/2024 3:25,3/25/2024 3:25
3,22,13,110,22,3/11/2024 8:47,3/11/2024 8:47
4,22,14,110,22,3/11/2024 8:47,3/11/2024 8:47
5,22,15,110,22,3/11/2024 8:47,3/11/2024 8:47
6,22,16,110,22,3/11/2024 8:47,3/11/2024 8:47
7,15,8,500,15,2/19/2024 17:43,2/19/2024 17:43
8,2,19,45,2,2/18/2024 17:59,2/18/2024 17:59
9,2,9,500,2,2/18/2024 17:59,2/18/2024 17:59
10,6,3,90,6,1/20/2024 8:47,1/20/2024 8:47
11,10,7,500,10,1/13/2024 20:08,1/13/2024 20:08
12,1,20,110,1,1/10/2024 6:37,1/10/2024 6:37
13,7,6,500,7,1/7/2024 15:37,1/7/2024 15:37
14,4,11,500,4,1/1/2024 5:01,1/1/2024 5:01
15,13,18,45,13,12/17/2023 20:33,12/17/2023 20:33
